id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1288987695327457283,1288987695327457283,1596153589000,2020-07-31,01:59:49,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,, pic.twitter.com/ZFkQyTROxT,[],[],['https://pbs.twimg.com/media/EeNneh2XoAAc9GZ.jpg'],0,2,8,[],[],https://twitter.com/DGobiernoCeuta/status/1288987695327457283,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1285869218605551617,1285869218605551617,1595410086000,2020-07-22,11:28:06,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,,Primera videoconferencia con el Ministerio de Industria Comercio y Turismo para estudiar actuaciones concretas y fomentar la llegada de turista a Ceuta pic.twitter.com/kliB7eZjJc,[],[],['https://pbs.twimg.com/media/EdhTO7PXYAA2jc0.jpg'],0,2,4,[],[],https://twitter.com/DGobiernoCeuta/status/1285869218605551617,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1284074690609283072,1284074690609283072,1594982237000,2020-07-17,12:37:17,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,,"Minuto de silencio tras asesinato,el pasado martes, de dos mujeres de 20 y 31 años. pic.twitter.com/csUQSP1rRD",[],[],['https://pbs.twimg.com/media/EdHzHTYXkAceoVU.jpg'],0,2,4,[],[],https://twitter.com/DGobiernoCeuta/status/1284074690609283072,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1284072795023040518,1284072795023040518,1594981785000,2020-07-17,12:29:45,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,,"La Delegada del Gobierno presenta al nuevo Director Provincial del Ministerio de Educación y Formación Profesional, Juan Bosco de Alba pic.twitter.com/me2onBX9L3",[],[],['https://pbs.twimg.com/media/EdHxZNMWAAESRbG.jpg'],1,2,5,[],[],https://twitter.com/DGobiernoCeuta/status/1284072795023040518,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1267405903051005952,1267405903051005952,1591008089000,2020-06-01,12:41:29,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,,#ISM pic.twitter.com/JRfIWvEMnm,[],[],['https://pbs.twimg.com/media/EZa68ptXYAIBqrE.jpg'],1,2,3,['#ism'],[],https://twitter.com/DGobiernoCeuta/status/1267405903051005952,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1266293922222891010,1266293922222891010,1590742972000,2020-05-29,11:02:52,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,, pic.twitter.com/w2clMInCSA,[],[],['https://pbs.twimg.com/media/EZLHmZnUEAAqdYG.jpg'],0,4,5,[],[],https://twitter.com/DGobiernoCeuta/status/1266293922222891010,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1265591164192854017,1265591164192854017,1590575421000,2020-05-27,12:30:21,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,,"Hoy hemos guardado un minuto de silencio en memoria de todas las personas fallecidas por el #COVID19

El Gobierno de la Nación ha establecido #luto oficial. pic.twitter.com/G7L8f867jH",[],[],"['https://pbs.twimg.com/media/EZBIbNBXkAAL0P0.jpg', 'https://pbs.twimg.com/media/EZBIbNDXsAYFQrp.jpg', 'https://pbs.twimg.com/media/EZBIbNKWsAIFc0t.jpg']",0,9,15,"['#covid19', '#luto']",[],https://twitter.com/DGobiernoCeuta/status/1265591164192854017,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1265409211078520834,1265409211078520834,1590532040000,2020-05-27,00:27:20,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,,#NuevaFotoDePerfil pic.twitter.com/t3XrxRZxOR,[],[],['https://pbs.twimg.com/media/EY-i9-sXYAM0cL-.jpg'],0,4,10,['#nuevafotodeperfil'],[],https://twitter.com/DGobiernoCeuta/status/1265409211078520834,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1265212942519201793,1265212942519201793,1590485246000,2020-05-26,11:27:26,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,, pic.twitter.com/FlMnbHwzvo,[],[],['https://pbs.twimg.com/media/EY7wckLXsAEfKWJ.jpg'],0,3,5,[],[],https://twitter.com/DGobiernoCeuta/status/1265212942519201793,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1264492169953521664,1264492127939170305,1590313401000,2020-05-24,11:43:21,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,,"que ha imposibilitado tanto la asistencia a las mezquitas como los encuentros familiares. 

Poco a poco con la implicación y la responsabilidad de todas y todos estamos recuperando la normalidad.

Feliz Eid al Firt",[],[],[],0,3,6,[],[],https://twitter.com/DGobiernoCeuta/status/1264492169953521664,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
1264492127939170305,1264492127939170305,1590313391000,2020-05-24,11:43:11,CEST,922798422725480449,dgobiernoceuta,Delegación G.Ceuta,,"La Delegada del Gobierno felicita a todos los ceutíes que profesan  la religión islámica con motivo del final del mes sagrado del Ramadán

Ha sido sin duda este un Ramadán diferente a causa de la pandemia del COVID-19",[],[],[],2,3,11,[],[],https://twitter.com/DGobiernoCeuta/status/1264492127939170305,False,,0,,,,,,,"[{'user_id': '922798422725480449', 'username': 'DGobiernoCeuta'}]",,,,
