id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1291347994122616832,1291347994122616832,1596716328000,2020-08-06,14:18:48,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El subdelegado del Gobierno de España 🇪🇸 en la provincia de #Toledo ha participado en el minuto de silencio por la última víctima de violencia de género, ocurrido ayer en Corral-Rubio (Albacete), junto a miembros del @gobjccm, de las @cortesclm y del @toledoayto, ante las Cortes pic.twitter.com/Mt3zHpJWlT","['gobjccm', 'cortesclm', 'toledoayto']",[],['https://pbs.twimg.com/media/EevIPjvXgAEH2XY.jpg'],0,2,4,['#toledo'],[],https://twitter.com/DGobiernoCLM/status/1291347994122616832,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}, {'user_id': '104129067', 'username': 'gobjccm'}, {'user_id': '3648392184', 'username': 'cortesclm'}, {'user_id': '161245703', 'username': 'toledoayto'}]",,,,
1291344460358590465,1291344460358590465,1596715486000,2020-08-06,14:04:46,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El delegado del Gobierno de España 🇪🇸 en #CLM, @ftierraseca, condena el crimen machista de Corral-Rubio (Albacete), tras participar en el minuto de silencio convocado por la Junta de Comunidades en la ciudad de #Albacete en repulsa por la última muerte de violencia de género pic.twitter.com/xhpDZKVzjA",['ftierraseca'],[],"['https://pbs.twimg.com/media/EevF630XYAMkzmA.jpg', 'https://pbs.twimg.com/media/EevF9MWWAAAlJaz.jpg', 'https://pbs.twimg.com/media/EevF-IbWkAcFAHQ.jpg', 'https://pbs.twimg.com/media/EevF-7PWkAE5NFR.jpg']",0,10,14,"['#clm', '#albacete']",[],https://twitter.com/DGobiernoCLM/status/1291344460358590465,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}, {'user_id': '304370845', 'username': 'ftierraseca'}]",,,,
1289278568258658304,1289278568258658304,1596222938000,2020-07-31,21:15:38,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El delegado del Gobierno de #España 🇪🇸 en #CastillaLaMancha, @ftierraseca, en la inauguración del Castillo de #Almansa tras las obras realizadas con cargo al fondo del 1,5% cultual que el Gobierno de España destina para la restauración y conservación del patrimonio histórico pic.twitter.com/vt29Gprqur",['ftierraseca'],[],"['https://pbs.twimg.com/media/EeRuEUnWsAIo0g2.jpg', 'https://pbs.twimg.com/media/EeRuKKfWAAQvsBy.jpg']",2,2,7,"['#españa', '#castillalamancha', '#almansa']",[],https://twitter.com/DGobiernoCLM/status/1289278568258658304,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}, {'user_id': '304370845', 'username': 'ftierraseca'}]",,,,
1289225457347342341,1289225457347342341,1596210276000,2020-07-31,17:44:36,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El delegado del Gobierno de #España🇪🇸 en #CastillaLaMancha, @ftierraseca, acompañado del subdelegado en la provincia de #Albacete en el incendio de #Férez para conocer de primera mano la evolución y el trabajo para su extinción. Participan efectivos de la @UMEgob y del @mitecogob pic.twitter.com/Q3dRmsR59Q","['ftierraseca', 'umegob', 'mitecogob']",[],"['https://pbs.twimg.com/media/EeQ83lzXkAE-zj-.jpg', 'https://pbs.twimg.com/media/EeQ84sqWkAI6lj0.jpg', 'https://pbs.twimg.com/media/EeQ86C6WAAArNkX.jpg', 'https://pbs.twimg.com/media/EeQ86-3WsAA9uJ8.jpg']",0,5,10,"['#españa', '#castillalamancha', '#albacete', '#férez']",[],https://twitter.com/DGobiernoCLM/status/1289225457347342341,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}, {'user_id': '304370845', 'username': 'ftierraseca'}, {'user_id': '501617939', 'username': 'UMEgob'}, {'user_id': '1005028594136092673', 'username': 'mitecogob'}]",,,,
1289131678498250752,1289131678498250752,1596187917000,2020-07-31,11:31:57,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El subdelegado del Gobierno de 🇪🇸 en la provincia de #Toledo, Carlos Ángel Devia, junto al jefe superior de la @policia en #CLM, Félix Antolín y los comisarios provinciales de #Toledo, #CiudadReal y #Guadalajara, en la de jura de la XXVIII Promoción de Subinspección ¡ENHORABUENA! pic.twitter.com/KnK5TcPpMA",['policia'],[],"['https://pbs.twimg.com/media/EePovSAXYAAxI4F.jpg', 'https://pbs.twimg.com/media/EePomxzWAAEbHtX.jpg']",0,8,11,"['#toledo', '#clm', '#toledo', '#ciudadreal', '#guadalajara']",[],https://twitter.com/DGobiernoCLM/status/1289131678498250752,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}, {'user_id': '23791197', 'username': 'policia'}]",,,,
1288919307322302464,1288919307322302464,1596137284000,2020-07-30,21:28:04,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El delegado del Gobierno de #España 🇪🇸 en #CLM, @ftierraseca, en el acto de homenaje de la Ciudad de #Guadalajara a las víctimas de la COVID-19 que el Ayuntamiento de la ciudad ha organizado en el Parque Adoratrices asisten también representantes de la @policia
 y @GuardiaCivilGU pic.twitter.com/05VIMP0apJ","['ftierraseca', 'policia', 'guardiacivilgu']",[],"['https://pbs.twimg.com/media/EeMpBgUXoAAARLR.jpg', 'https://pbs.twimg.com/media/EeMpIMpXoAE61Rl.jpg', 'https://pbs.twimg.com/media/EeMpJemXkAItGid.jpg']",0,6,7,"['#españa', '#clm', '#guadalajara']",[],https://twitter.com/DGobiernoCLM/status/1288919307322302464,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}, {'user_id': '304370845', 'username': 'ftierraseca'}, {'user_id': '23791197', 'username': 'policia'}, {'user_id': '796758071787843584', 'username': 'GuardiaCivilGU'}]",,,,
1288818166899126273,1288818166899126273,1596113170000,2020-07-30,14:46:10,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El Ministerio de Hacienda ha ingresado hoy 13 mil millones de € a las #CCAA de los que 478,92 millones son para #CastillaLaMancha.  319,26 millones corresponden al primer tramo del llamado fondo COVID pic.twitter.com/h8gRxqSFxS",[],[],['https://pbs.twimg.com/media/EeLJfZKXoAAYvNB.jpg'],0,6,6,"['#ccaa', '#castillalamancha']",[],https://twitter.com/DGobiernoCLM/status/1288818166899126273,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}]",,,,
1288540615240749056,1288540615240749056,1596046997000,2020-07-29,20:23:17,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El subdelegado del Gobierno de #España 🇪🇸 en la provincia de #Cuenca, @JuanRodCantos, acompañado por el jefe de la Comisaría Provincial, Francisco Collado, da la bienvenida a los agentes de la @policia que se incorporan a esta Comisaría 
¡¡¡ ENHORABUENA !!! pic.twitter.com/LblCouvsM4","['juanrodcantos', 'policia']",[],['https://pbs.twimg.com/media/EeHNruiWAAEdOw-.jpg'],0,1,4,"['#españa', '#cuenca']",[],https://twitter.com/DGobiernoCLM/status/1288540615240749056,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}, {'user_id': '1123518375664156672', 'username': 'JuanRodCantos'}, {'user_id': '23791197', 'username': 'policia'}]",,,,
1287483593556729860,1287483593556729860,1595794983000,2020-07-26,22:23:03,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El subdelegado del Gobierno de España 🇪🇸 en la provincia de #Cuenca, @JuanRodCantos, ha asistido a los actos organizados este fin de semana en la provincia por la Diócesis de Cuenca y el Ayuntamiento de #SanClemente en homenaje y recuerdo de las víctimas de la #COVIDー19 pic.twitter.com/tmDcTDVJXb",['juanrodcantos'],[],"['https://pbs.twimg.com/media/Ed4PPPjXYAAnm9z.jpg', 'https://pbs.twimg.com/media/Ed4PPP0XsAAA2dr.jpg', 'https://pbs.twimg.com/media/Ed4PPP9XgAAFvqb.jpg', 'https://pbs.twimg.com/media/Ed4PPPuXsAA7-It.jpg']",0,3,2,"['#cuenca', '#sanclemente', '#covidー19']",[],https://twitter.com/DGobiernoCLM/status/1287483593556729860,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}, {'user_id': '1123518375664156672', 'username': 'JuanRodCantos'}]",,,,
1286636278990229505,1286636278990229505,1595592968000,2020-07-24,14:16:08,CEST,725623078642966528,dgobiernoclm,Delegación del Gobierno en CLM,,"El subdelegado del Gobierno 🇪🇸 en #Cuenca, @JuanRodCantos, acompañado por el jefe de la Comandancia de Cuenca, teniente coronel Fernando Montes, ha visitado el cuartel de @guardiacivil de #LasPedroñeras para agradecer al personal el trabajo realizado durante el estado de alarma pic.twitter.com/0uhYiKhSMv","['juanrodcantos', 'guardiacivil']",[],['https://pbs.twimg.com/media/EdsMyXSXsAMUZAS.jpg'],0,2,7,"['#cuenca', '#laspedroñeras']",[],https://twitter.com/DGobiernoCLM/status/1286636278990229505,False,,0,,,,,,,"[{'user_id': '725623078642966528', 'username': 'DGobiernoCLM'}, {'user_id': '1123518375664156672', 'username': 'JuanRodCantos'}, {'user_id': '295608887', 'username': 'guardiacivil'}]",,,,
