id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1291024999692808196,1291024993959251970,1596639320000,2020-08-05,16:55:20,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"La vicepresidenta 1ª del Gobierno @carmencalvo_  en el homenaje institucional a Riego:

“Peleó por algo que a nuestro país le ha costado mucho alcanzar: más de 40 años de democracia y de cumplimiento de nuestro pacto constitucional es el gran homenaje que le podemos ofrecer. pic.twitter.com/KtaVyGOeZD",['carmencalvo_'],[],['https://pbs.twimg.com/media/EeqkE52XkAAAAn1.jpg'],33,16,34,[],[],https://twitter.com/M_Presidencia/status/1291024999692808196,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}, {'user_id': '933309177623121921', 'username': 'carmencalvo_'}]",,,,
1291024996987543552,1291024993959251970,1596639320000,2020-08-05,16:55:20,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"La vicepresidenta 1ª del Gobierno @carmencalvo_  en el homenaje institucional a Riego: 

“Defendamos nuestra democracia practicándola, defendamos nuestro texto constitucional cumpliéndolo a rajatabla, todos por igual y cada cual en la responsabilidad que le haya correspondido.” pic.twitter.com/jxZJ4Ljm9N",['carmencalvo_'],[],['https://pbs.twimg.com/media/EeqjVhyX0AEz0p2.jpg'],13,15,25,[],[],https://twitter.com/M_Presidencia/status/1291024996987543552,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}, {'user_id': '933309177623121921', 'username': 'carmencalvo_'}]",,,,
1291024993959251970,1291024993959251970,1596639319000,2020-08-05,16:55:19,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"Nota de prensa: 

La vicepresidenta 1ª @carmencalvo_ en el homenaje a Rafael del #Riego en Tuña, su localidad natal:

 ""La Memoria Democrática forma parte de la agenda de estado de un país que se mira a sí mismo con dignidad y valentía"".

 https://www.mpr.gob.es/prencom/notas/Paginas/2020/050820-calvo.aspx … pic.twitter.com/09w1kuJTXx",['carmencalvo_'],['https://www.mpr.gob.es/prencom/notas/Paginas/2020/050820-calvo.aspx'],['https://pbs.twimg.com/media/EeqiqNsXgAEiyuL.jpg'],16,25,45,['#riego'],[],https://twitter.com/M_Presidencia/status/1291024993959251970,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}, {'user_id': '933309177623121921', 'username': 'carmencalvo_'}]",,,,
1290927624123031552,1290927624123031552,1596616104000,2020-08-05,10:28:24,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"La vicepresidenta 1ª del Gobierno, @carmencalvo_ , ha mantenido una reunión con @AdrianBarbon en la sede del @GobAsturias, iniciando así la visita oficial que concluirá este mediodía con el homenaje institucional al general #Riego en su localidad natal, Tuña. pic.twitter.com/qGY9QLNruO","['carmencalvo_', 'adrianbarbon', 'gobasturias']",[],"['https://pbs.twimg.com/media/EepLnCvWoAAjJNW.jpg', 'https://pbs.twimg.com/media/EepLnC5XkAA8RgO.jpg', 'https://pbs.twimg.com/media/EepLnDaXgAAnHrE.jpg']",9,38,89,['#riego'],[],https://twitter.com/M_Presidencia/status/1290927624123031552,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}, {'user_id': '933309177623121921', 'username': 'carmencalvo_'}, {'user_id': '211250630', 'username': 'AdrianBarbon'}, {'user_id': '890838088443977728', 'username': 'GobAsturias'}]",,,,
1290314256932409344,1290314256932409344,1596469866000,2020-08-03,17:51:06,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"Nota de prensa:

La vicepresidenta primera @carmencalvo_ y la ministra 
@CarolinaDarias se han reunido en el @Congreso_Es con una delegación de @CiudadanosCs encabezada por 
@BalEdmundo
 https://www.mpr.gob.es/prencom/notas/Paginas/2020/030820-calvo-darias-cs.aspx … pic.twitter.com/XI5wURJ1uM","['carmencalvo_', 'carolinadarias', 'congreso_es', 'ciudadanoscs', 'baledmundo']",['https://www.mpr.gob.es/prencom/notas/Paginas/2020/030820-calvo-darias-cs.aspx'],['https://pbs.twimg.com/media/Eegd9YWWoAAuUad.jpg'],31,15,27,[],[],https://twitter.com/M_Presidencia/status/1290314256932409344,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}, {'user_id': '933309177623121921', 'username': 'carmencalvo_'}, {'user_id': '261225455', 'username': 'CarolinaDarias'}, {'user_id': '44091448', 'username': 'Congreso_Es'}, {'user_id': '19028805', 'username': 'CiudadanosCs'}, {'user_id': '1099251922152931329', 'username': 'BalEdmundo'}]",,,,
1288415287172308993,1288415287172308993,1596017116000,2020-07-29,12:05:16,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"Nota de prensa: 

El BOE publica la orden que regula la subvenciones para actividades relacionadas con la recuperación de la Memoria Democrática https://www.mpr.gob.es/prencom/notas/paginas/2020/290720-subvenciones.aspx …",[],['https://www.mpr.gob.es/prencom/notas/paginas/2020/290720-subvenciones.aspx'],[],3,28,29,[],[],https://twitter.com/M_Presidencia/status/1288415287172308993,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}]",,,,
1288413816619966464,1288413816619966464,1596016766000,2020-07-29,11:59:26,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"La Fundación @PluralismoyC ha actualizado los contenidos de su web para conmemorar los #40AñosLibertadReligiosa en España, con diversos vídeos, recopilación de noticias y archivo documental a los que se puede acceder a través de este enlace: https://www.pluralismoyconvivencia.es/nuestro-trabajo/divulgacion-y-sensibilizacion/40-anos-libertad-religiosa/ …",['pluralismoyc'],['https://www.pluralismoyconvivencia.es/nuestro-trabajo/divulgacion-y-sensibilizacion/40-anos-libertad-religiosa/'],[],6,12,15,['#40añoslibertadreligiosa'],[],https://twitter.com/M_Presidencia/status/1288413816619966464,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}, {'user_id': '1084822905685528577', 'username': 'PluralismoyC'}]",,,,
1288008438761521152,1288008438761521152,1595920116000,2020-07-28,09:08:36,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"Nota de prensa: 

Calvo: ""No podemos salir de ésta sin aprender la lección de que somos un gran país que tiene que apoyarse en su ciencia. Y no lo haremos"". https://www.mpr.gob.es/prencom/notas/paginas/2020/20072020_medallas.aspx …",[],['https://www.mpr.gob.es/prencom/notas/paginas/2020/20072020_medallas.aspx'],[],35,41,80,[],[],https://twitter.com/M_Presidencia/status/1288008438761521152,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}]",,,,
1287820969025953792,1287820963015524355,1595875420000,2020-07-27,20:43:40,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"La vicepresidenta 1ª @carmencalvo_: ""Europa ha entendido que democracia está ligada indisolublemente con la igualdad y la dignidad. Y eso está conectado con la mejora de las vidas de todos. De su respuesta se beneficiará la ciencia y la innovación y traerá un futuro mejor"". pic.twitter.com/LBTE8BTNNv",['carmencalvo_'],[],"['https://pbs.twimg.com/media/Ed9Bwd0WkAEeqXz.jpg', 'https://pbs.twimg.com/media/Ed9Bwg6WoAEG-8H.jpg', 'https://pbs.twimg.com/media/Ed9B7F4XsAAkVCK.jpg']",8,6,21,[],[],https://twitter.com/M_Presidencia/status/1287820969025953792,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}, {'user_id': '933309177623121921', 'username': 'carmencalvo_'}]",,,,
1287820966157066241,1287820963015524355,1595875419000,2020-07-27,20:43:39,CEST,481897983,m_presidencia,Vicepresidencia del Gobierno,,"La vicepresidenta 1ª @carmencalvo_ a los premiados: ""Nos sentimos muy esperanzados en sus manos siempre, pero ahora más que nunca la sociedad les mira porque sus logros nos sacarán de ésta. No hay más mérito que servir, hacerlo bien y con los logros que ustedes tienen"". pic.twitter.com/9ZljlUQ16c",['carmencalvo_'],[],"['https://pbs.twimg.com/media/Ed9BrLIXsAcuqk7.jpg', 'https://pbs.twimg.com/media/Ed9BrLJWkAE8-fz.jpg', 'https://pbs.twimg.com/media/Ed9BrLQX0AAMvMX.jpg', 'https://pbs.twimg.com/media/Ed9BrLOX0AEXnYu.jpg']",4,10,19,[],[],https://twitter.com/M_Presidencia/status/1287820966157066241,False,,0,,,,,,,"[{'user_id': '481897983', 'username': 'M_Presidencia'}, {'user_id': '933309177623121921', 'username': 'carmencalvo_'}]",,,,
